美甲师,四川科伊美医院有限公司,  [,吴女士（联系我时请说明在“138美容人才网”看到的招聘信息）,http://www.138job.com/ShowPhone.aspx?v=D5FF3E2ACC82CD1B62C94FD8BAC2638C,"美甲师招聘职位要求是否出差：无需出差
有亲和力，沟通能力强，活泼，服务，责任心强。
",2366833,486914
纹绣师,四川科伊美医院有限公司,  [,吴宝泉（联系我时请说明在“138美容人才网”看到的招聘信息）,http://www.138job.com/ShowPhone.aspx?v=454B9D21C7C8E9AC97F24A22EB26B014,"纹绣师招聘职位要求是否出差：不定时出差
1、形象气质佳，性格开朗；2、从事纹绣工作3年以上，能够熟练操作眉眼唇，有较强的设计和技术操作能力；3、具备皮肤美容常识及医学规范常识；4、具备良好的沟通力与服务营销意识，有一定的客户驾驭能力，具备美学、面相风水学等综合性专业知识； 5、工作积极热情，做事耐心细致，工作责任心强，具备极强的售后服务能力； 6、热爱纹绣行业，在各类纹绣大赛中获奖者优先考虑。 7、 服从公司按排
",2366833,470201
美甲师,上海鑫纳生物科技有限公司,牛总/,上海市虹区逸仙路490弄辛耕大厦8号2404室 ,http://www.138job.com/ShowPhone.aspx?v=36CD07ADBE4535EDE4EC6BC15CEF0DA4,"美甲师招聘职位要求是否出差：无需出差
职责说明：对顾客提供各种美甲服务。职位要求：1、初中或以上学历，能进行一般的美甲工作；2、对美甲行业有浓厚的兴趣，有良好的服务意识，工作主动自律，具有良好的卫生习惯；3、有工作经验以及有美甲师相关资质证书者优先。
",938404,445257
健身教练主管,佛山喜玛拉雅保健美容院,---,---,---,"健身教练主管招聘职位要求是否出差：无需出差
1、持有相关证书；
2、性格开朗，有较强的沟通交流能力；
3、较强的亲和力及沟通能力，有敬业精神；
4、有一定的英语能力及团队管理经验。
5、具备相关工作经验者优先考虑。
6、有两年以上相关工作经验，熟悉健身房器械设备及康体项目运作程序；
7、指导及解释器械使用方法，推广康体课程
",108893,42671
美甲师,广东凤凰美化妆品有限公司,廖小姐,广州花都区新华街道凤凰美科技美肤中心 ,http://www.138job.com/ShowPhone.aspx?v=4C2575006F9E9513221BD4A0A77F7F93,"美甲师招聘职位要求是否出差：无需出差
职责说明：对顾客提供各种美甲服务。职位要求：1、初中或以上学历，能进行一般的美甲工作；2、对美甲行业有浓厚的兴趣，有良好的服务意识，工作主动自律，具有良好的卫生习惯；3、有工作经验以及有美甲师相关资质证书者优先。
",2114599,489497
美甲师,俏俪人美容美甲集团,叶小姐,（旗舰店）天河南一路，即地铁一号线，体育西站B出口/（总部）白云区机场路1600号汇创广场Q栋2楼全 ,http://www.138job.com/ShowPhone.aspx?v=482F5C09C54EB39EA440FF4734DF7845,"美甲师招聘职位要求是否出差：无需出差
岗位职责:1、一年以上美甲师工作经验2、能吃苦耐劳，有上进心3、良好表达及沟通能力4、服从管理，及良好的团队合作精神公司提供专业的在职美甲技术、销售、服务礼仪等课程，让你在工作中成长，成长中工作！
",1096773,473110
兼职瑜珈健身教练,广州加州七街7S完美女人时尚生活会馆,---,---,---,"兼职瑜珈健身教练招聘职位要求是否出差：无需出差
美容类辅助兼职教练，每月提前排期。根据我中心瑜珈课程要求及资料进行授课。形象好，气质佳从事瑜珈教练3年以上
",105335,36598
美甲师,俏俪人美容美甲集团,叶小姐,（旗舰店）天河南一路，即地铁一号线，体育西站B出口/（总部）白云区机场路1600号汇创广场Q栋2楼全 ,http://www.138job.com/ShowPhone.aspx?v=482F5C09C54EB39EA440FF4734DF7845,"美甲师招聘职位要求是否出差：无需出差
岗位职责:1、一年以上美甲师工作经验2、能吃苦耐劳，有上进心3、良好表达及沟通能力4、服从管理，及良好的团队合作精神公司提供专业的在职美甲技术、销售、服务礼仪等课程，让你在工作中成长，成长中工作！
",1096773,473111
美甲师,俏俪人美容美甲集团,叶小姐,（旗舰店）天河南一路，即地铁一号线，体育西站B出口/（总部）白云区机场路1600号汇创广场Q栋2楼全 ,http://www.138job.com/ShowPhone.aspx?v=482F5C09C54EB39EA440FF4734DF7845,"美甲师招聘职位要求是否出差：无需出差
岗位职责:1、一年以上美甲师工作经验2、能吃苦耐劳，有上进心3、良好表达及沟通能力4、服从管理，及良好的团队合作精神公司提供专业的在职美甲技术、销售、服务礼仪等课程，让你在工作中成长，成长中工作！
",1096773,473112
瑜伽教练,福建省三明市三元区名媛淑女美容瑜伽俱乐部,---,---,---,"瑜伽教练招聘职位要求是否出差：无需出差
有2年以上的教学经验。
",105970,37595
